Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Deuterium (Z=1 A=2),Map:     f+R->vx,vx_kms,2.1421e-18,5.37906e+20,7239.79,5.37906e+20,1.68988e+21,5.37906e+20,2.1421e-18,6.72961e-18,2.1421e-18,7239.79,2304.5,7239.79,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 A=2 Rc=2.1421fm BE=2.2246MeV src=Angeli2013
Helium-3 (Z=2 A=3),Map:     f+R->vx,vx_kms,1.9661e-18,1.86623e+21,23054.2,1.86623e+21,5.86293e+21,1.86623e+21,1.9661e-18,6.17669e-18,1.9661e-18,23054.2,7338.38,23054.2,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 A=3 Rc=1.9661fm BE=7.7181MeV src=Angeli2013
Helium-4 (Z=2 A=4),Map:     f+R->vx,vx_kms,1.6755e-18,6.84187e+21,72027.6,6.84187e+21,2.14944e+22,6.84187e+21,1.6755e-18,5.26374e-18,1.6755e-18,72027.6,22927.1,72027.6,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 A=4 Rc=1.6755fm BE=28.2957MeV src=Angeli2013
Lithium-6 (Z=3 A=6),Map:     f+R->vx,vx_kms,2.589e-18,7.73626e+21,125847,7.73626e+21,2.43042e+22,7.73626e+21,2.589e-18,8.13358e-18,2.589e-18,125847,40058.4,125847,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 A=6 Rc=2.5890fm BE=31.9946MeV src=Angeli2013
Lithium-7 (Z=3 A=7),Map:     f+R->vx,vx_kms,2.444e-18,9.48918e+21,145717,9.48918e+21,2.98111e+22,9.48918e+21,2.444e-18,7.67805e-18,2.444e-18,145717,46383.1,145717,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 A=7 Rc=2.4440fm BE=39.2441MeV src=Angeli2013
Beryllium-9 (Z=4 A=9),Map:     f+R->vx,vx_kms,2.519e-18,1.40643e+22,222600,1.40643e+22,4.41842e+22,1.40643e+22,2.519e-18,7.91367e-18,2.519e-18,222600,70855.7,222600,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=4 A=9 Rc=2.5190fm BE=58.1651MeV src=Angeli2013
Boron-10 (Z=5 A=10),Map:     f+R->vx,vx_kms,2.4277e-18,1.56567e+22,238822,1.56567e+22,4.91869e+22,1.56567e+22,2.4277e-18,7.62684e-18,2.4277e-18,238822,76019.4,238822,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 A=10 Rc=2.4277fm BE=64.7508MeV src=Angeli2013
Boron-11 (Z=5 A=11),Map:     f+R->vx,vx_kms,2.405e-18,1.84262e+22,278440,1.84262e+22,5.78877e+22,1.84262e+22,2.405e-18,7.55553e-18,2.405e-18,278440,88630.2,278440,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 A=11 Rc=2.4050fm BE=76.2048MeV src=Angeli2013
Carbon-12 (Z=6 A=12),Map:     f+R->vx,vx_kms,2.4702e-18,2.22846e+22,345873,2.22846e+22,7.00091e+22,2.22846e+22,2.4702e-18,7.76036e-18,2.4702e-18,345873,110095,345873,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 A=12 Rc=2.4702fm BE=92.1617MeV src=Angeli2013
Carbon-13 (Z=6 A=13),Map:     f+R->vx,vx_kms,2.4614e-18,2.34807e+22,363139,2.34807e+22,7.37667e+22,2.34807e+22,2.4614e-18,7.73272e-18,2.4614e-18,363139,115591,363139,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 A=13 Rc=2.4614fm BE=97.1082MeV src=Angeli2013
Nitrogen-14 (Z=7 A=14),Map:     f+R->vx,vx_kms,2.5582e-18,2.53064e+22,406767,2.53064e+22,7.95025e+22,2.53064e+22,2.5582e-18,8.03682e-18,2.5582e-18,406767,129478,406767,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 A=14 Rc=2.5582fm BE=104.659MeV src=Angeli2013
Nitrogen-15 (Z=7 A=15),Map:     f+R->vx,vx_kms,2.601e-18,2.79258e+22,456380,2.79258e+22,8.77316e+22,2.79258e+22,2.601e-18,8.17128e-18,2.601e-18,456380,145270,456380,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 A=15 Rc=2.6010fm BE=115.492MeV src=Angeli2013
Oxygen-16 (Z=8 A=16),Map:     f+R->vx,vx_kms,2.6991e-18,3.08581e+22,523321,3.08581e+22,9.69437e+22,3.08581e+22,2.6991e-18,8.47947e-18,2.6991e-18,523321,166578,523321,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=16 Rc=2.6991fm BE=127.619MeV src=Angeli2013
Oxygen-17 (Z=8 A=17),Map:     f+R->vx,vx_kms,2.6931e-18,3.18602e+22,539113,3.18602e+22,1.00092e+23,3.18602e+22,2.6931e-18,8.46062e-18,2.6931e-18,539113,171605,539113,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=17 Rc=2.6931fm BE=131.763MeV src=Angeli2013
Oxygen-18 (Z=8 A=18),Map:     f+R->vx,vx_kms,2.7726e-18,3.38054e+22,588916,3.38054e+22,1.06203e+23,3.38054e+22,2.7726e-18,8.71038e-18,2.7726e-18,588916,187458,588916,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=18 Rc=2.7726fm BE=139.808MeV src=Angeli2013
Fluorine-19 (Z=9 A=19),Map:     f+R->vx,vx_kms,2.8976e-18,3.57381e+22,650654,3.57381e+22,1.12275e+23,3.57381e+22,2.8976e-18,9.10308e-18,2.8976e-18,650654,207110,650654,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=9 A=19 Rc=2.8976fm BE=147.801MeV src=Angeli2013
Neon-20 (Z=10 A=20),Map:     f+R->vx,vx_kms,2.9936e-18,3.88438e+22,730626,3.88438e+22,1.22031e+23,3.88438e+22,2.9936e-18,9.40467e-18,2.9936e-18,730626,232566,730626,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=20 Rc=2.9936fm BE=160.645MeV src=Angeli2013
Neon-21 (Z=10 A=21),Map:     f+R->vx,vx_kms,2.9587e-18,4.04786e+22,752499,4.04786e+22,1.27167e+23,4.04786e+22,2.9587e-18,9.29503e-18,2.9587e-18,752499,239528,752499,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=21 Rc=2.9587fm BE=167.406MeV src=Angeli2013
Neon-22 (Z=10 A=22),Map:     f+R->vx,vx_kms,3.0055e-18,4.29846e+22,811726,4.29846e+22,1.3504e+23,4.29846e+22,3.0055e-18,9.44206e-18,3.0055e-18,811726,258380,811726,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=22 Rc=3.0055fm BE=177.770MeV src=Angeli2013
Sodium-23 (Z=11 A=23),Map:     f+R->vx,vx_kms,2.9936e-18,4.5111e+22,848508,4.5111e+22,1.4172e+23,4.5111e+22,2.9936e-18,9.40467e-18,2.9936e-18,848508,270088,848508,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=11 A=23 Rc=2.9936fm BE=186.564MeV src=Angeli2013
Magnesium-24 (Z=12 A=24),Map:     f+R->vx,vx_kms,3.057e-18,4.79383e+22,920785,4.79383e+22,1.50603e+23,4.79383e+22,3.057e-18,9.60385e-18,3.057e-18,920785,293095,920785,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=24 Rc=3.0570fm BE=198.257MeV src=Angeli2013
Magnesium-25 (Z=12 A=25),Map:     f+R->vx,vx_kms,3.0364e-18,4.9711e+22,948399,4.9711e+22,1.56172e+23,4.9711e+22,3.0364e-18,9.53913e-18,3.0364e-18,948399,301885,948399,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=25 Rc=3.0364fm BE=205.588MeV src=Angeli2013
Magnesium-26 (Z=12 A=26),Map:     f+R->vx,vx_kms,3.0341e-18,5.23937e+22,998824,5.23937e+22,1.646e+23,5.23937e+22,3.0341e-18,9.53191e-18,3.0341e-18,998824,317936,998824,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=26 Rc=3.0341fm BE=216.683MeV src=Angeli2013
Aluminum-27 (Z=13 A=27),Map:     f+R->vx,vx_kms,3.061e-18,5.43932e+22,1.04613e+06,5.43932e+22,1.70881e+23,5.43932e+22,3.061e-18,9.61642e-18,3.061e-18,1.04613e+06,332995,1.04613e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=13 A=27 Rc=3.0610fm BE=224.952MeV src=Angeli2013
Silicon-28 (Z=14 A=28),Map:     f+R->vx,vx_kms,3.1224e-18,5.71944e+22,1.12207e+06,5.71944e+22,1.79681e+23,5.71944e+22,3.1224e-18,9.80931e-18,3.1224e-18,1.12207e+06,357168,1.12207e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=28 Rc=3.1224fm BE=236.537MeV src=Angeli2013
Silicon-29 (Z=14 A=29),Map:     f+R->vx,vx_kms,3.104e-18,5.92432e+22,1.15542e+06,5.92432e+22,1.86118e+23,5.92432e+22,3.104e-18,9.7515e-18,3.104e-18,1.15542e+06,367782,1.15542e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=29 Rc=3.1040fm BE=245.010MeV src=Angeli2013
Silicon-30 (Z=14 A=30),Map:     f+R->vx,vx_kms,3.1336e-18,6.18089e+22,1.21695e+06,6.18089e+22,1.94178e+23,6.18089e+22,3.1336e-18,9.84449e-18,3.1336e-18,1.21695e+06,387369,1.21695e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=30 Rc=3.1336fm BE=255.621MeV src=Angeli2013
Phosphorus-31 (Z=15 A=31),Map:     f+R->vx,vx_kms,3.1889e-18,6.3573e+22,1.27378e+06,6.3573e+22,1.99721e+23,6.3573e+22,3.1889e-18,1.00182e-17,3.1889e-18,1.27378e+06,405456,1.27378e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=15 A=31 Rc=3.1889fm BE=262.917MeV src=Angeli2013
Sulfur-32 (Z=16 A=32),Map:     f+R->vx,vx_kms,3.2611e-18,6.57164e+22,1.34653e+06,6.57164e+22,2.06454e+23,6.57164e+22,3.2611e-18,1.0245e-17,3.2611e-18,1.34653e+06,428615,1.34653e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=32 Rc=3.2611fm BE=271.781MeV src=Angeli2013
Sulfur-33 (Z=16 A=33),Map:     f+R->vx,vx_kms,3.2418e-18,6.7806e+22,1.38113e+06,6.7806e+22,2.13019e+23,6.7806e+22,3.2418e-18,1.01844e-17,3.2418e-18,1.38113e+06,439627,1.38113e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=33 Rc=3.2418fm BE=280.423MeV src=Angeli2013
Sulfur-34 (Z=16 A=34),Map:     f+R->vx,vx_kms,3.2858e-18,7.05664e+22,1.45686e+06,7.05664e+22,2.21691e+23,7.05664e+22,3.2858e-18,1.03226e-17,3.2858e-18,1.45686e+06,463734,1.45686e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=34 Rc=3.2858fm BE=291.839MeV src=Angeli2013
Sulfur-36 (Z=16 A=36),Map:     f+R->vx,vx_kms,3.3e-18,7.46467e+22,1.54776e+06,7.46467e+22,2.3451e+23,7.46467e+22,3.3e-18,1.03673e-17,3.3e-18,1.54776e+06,492668,1.54776e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 A=36 Rc=3.3000fm BE=308.714MeV src=Angeli2013
Chlorine-35 (Z=17 A=35),Map:     f+R->vx,vx_kms,3.3651e-18,7.21069e+22,1.52459e+06,7.21069e+22,2.2653e+23,7.21069e+22,3.3651e-18,1.05718e-17,3.3651e-18,1.52459e+06,485294,1.52459e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 A=35 Rc=3.3651fm BE=298.210MeV src=Angeli2013
Chlorine-37 (Z=17 A=37),Map:     f+R->vx,vx_kms,3.3966e-18,7.66756e+22,1.63637e+06,7.66756e+22,2.40884e+23,7.66756e+22,3.3966e-18,1.06707e-17,3.3966e-18,1.63637e+06,520873,1.63637e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 A=37 Rc=3.3966fm BE=317.105MeV src=Angeli2013
Argon-36 (Z=18 A=36),Map:     f+R->vx,vx_kms,3.4274e-18,7.41636e+22,1.59711e+06,7.41636e+22,2.32992e+23,7.41636e+22,3.4274e-18,1.07675e-17,3.4274e-18,1.59711e+06,508377,1.59711e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=36 Rc=3.4274fm BE=306.716MeV src=Angeli2013
Argon-38 (Z=18 A=38),Map:     f+R->vx,vx_kms,3.403e-18,7.91512e+22,1.69239e+06,7.91512e+22,2.48661e+23,7.91512e+22,3.403e-18,1.06908e-17,3.403e-18,1.69239e+06,538703,1.69239e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=38 Rc=3.4030fm BE=327.343MeV src=Angeli2013
Argon-40 (Z=18 A=40),Map:     f+R->vx,vx_kms,3.4274e-18,8.31329e+22,1.79027e+06,8.31329e+22,2.6117e+23,8.31329e+22,3.4274e-18,1.07675e-17,3.4274e-18,1.79027e+06,569859,1.79027e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=40 Rc=3.4274fm BE=343.810MeV src=Angeli2013
Potassium-39 (Z=19 A=39),Map:     f+R->vx,vx_kms,3.4349e-18,8.06941e+22,1.74155e+06,8.06941e+22,2.53508e+23,8.06941e+22,3.4349e-18,1.07911e-17,3.4349e-18,1.74155e+06,554352,1.74155e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=39 Rc=3.4349fm BE=333.724MeV src=Angeli2013
Potassium-40 (Z=19 A=40),Map:     f+R->vx,vx_kms,3.4539e-18,8.25804e+22,1.79212e+06,8.25804e+22,2.59434e+23,8.25804e+22,3.4539e-18,1.08507e-17,3.4539e-18,1.79212e+06,570449,1.79212e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=40 Rc=3.4539fm BE=341.525MeV src=Angeli2013
Potassium-41 (Z=19 A=41),Map:     f+R->vx,vx_kms,3.4511e-18,8.50209e+22,1.84358e+06,8.50209e+22,2.67101e+23,8.50209e+22,3.4511e-18,1.0842e-17,3.4511e-18,1.84358e+06,586831,1.84358e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=41 Rc=3.4511fm BE=351.618MeV src=Angeli2013
Calcium-40 (Z=20 A=40),Map:     f+R->vx,vx_kms,3.4776e-18,8.27078e+22,1.8072e+06,8.27078e+22,2.59834e+23,8.27078e+22,3.4776e-18,1.09252e-17,3.4776e-18,1.8072e+06,575249,1.8072e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=40 Rc=3.4776fm BE=342.052MeV src=Angeli2013
Calcium-42 (Z=20 A=42),Map:     f+R->vx,vx_kms,3.5082e-18,8.75058e+22,1.92886e+06,8.75058e+22,2.74908e+23,8.75058e+22,3.5082e-18,1.10213e-17,3.5082e-18,1.92886e+06,613976,1.92886e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=42 Rc=3.5082fm BE=361.895MeV src=Angeli2013
Calcium-43 (Z=20 A=43),Map:     f+R->vx,vx_kms,3.4849e-18,8.9424e+22,1.95805e+06,8.9424e+22,2.80934e+23,8.9424e+22,3.4849e-18,1.09481e-17,3.4849e-18,1.95805e+06,623267,1.95805e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=43 Rc=3.4849fm BE=369.828MeV src=Angeli2013
Calcium-44 (Z=20 A=44),Map:     f+R->vx,vx_kms,3.5167e-18,9.21157e+22,2.0354e+06,9.21157e+22,2.8939e+23,9.21157e+22,3.5167e-18,1.1048e-17,3.5167e-18,2.0354e+06,647887,2.0354e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=44 Rc=3.5167fm BE=380.960MeV src=Angeli2013
Calcium-46 (Z=20 A=46),Map:     f+R->vx,vx_kms,3.507e-18,9.64214e+22,2.12466e+06,9.64214e+22,3.02917e+23,9.64214e+22,3.507e-18,1.10176e-17,3.507e-18,2.12466e+06,676300,2.12466e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=46 Rc=3.5070fm BE=398.767MeV src=Angeli2013
Calcium-48 (Z=20 A=48),Map:     f+R->vx,vx_kms,3.4771e-18,1.00585e+23,2.19751e+06,1.00585e+23,3.15998e+23,1.00585e+23,3.4771e-18,1.09236e-17,3.4771e-18,2.19751e+06,699490,2.19751e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=48 Rc=3.4771fm BE=415.987MeV src=Angeli2013
Titanium-46 (Z=22 A=46),Map:     f+R->vx,vx_kms,3.607e-18,9.62817e+22,2.18207e+06,9.62817e+22,3.02478e+23,9.62817e+22,3.607e-18,1.13317e-17,3.607e-18,2.18207e+06,694576,2.18207e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=46 Rc=3.6070fm BE=398.189MeV src=Angeli2013
Titanium-47 (Z=22 A=47),Map:     f+R->vx,vx_kms,3.613e-18,9.84301e+22,2.23448e+06,9.84301e+22,3.09227e+23,9.84301e+22,3.613e-18,1.13506e-17,3.613e-18,2.23448e+06,711256,2.23448e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=47 Rc=3.6130fm BE=407.074MeV src=Angeli2013
Titanium-48 (Z=22 A=48),Map:     f+R->vx,vx_kms,3.6074e-18,1.01241e+23,2.29473e+06,1.01241e+23,3.18059e+23,1.01241e+23,3.6074e-18,1.1333e-17,3.6074e-18,2.29473e+06,730435,2.29473e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=48 Rc=3.6074fm BE=418.700MeV src=Angeli2013
Titanium-49 (Z=22 A=49),Map:     f+R->vx,vx_kms,3.614e-18,1.03209e+23,2.34361e+06,1.03209e+23,3.24241e+23,1.03209e+23,3.614e-18,1.13537e-17,3.614e-18,2.34361e+06,745994,2.34361e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=49 Rc=3.6140fm BE=426.838MeV src=Angeli2013
Titanium-50 (Z=22 A=50),Map:     f+R->vx,vx_kms,3.6316e-18,1.05855e+23,2.41539e+06,1.05855e+23,3.32552e+23,1.05855e+23,3.6316e-18,1.1409e-17,3.6316e-18,2.41539e+06,768844,2.41539e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=50 Rc=3.6316fm BE=437.780MeV src=Angeli2013
Chromium-50 (Z=24 A=50),Map:     f+R->vx,vx_kms,3.6588e-18,1.05193e+23,2.41828e+06,1.05193e+23,3.30474e+23,1.05193e+23,3.6588e-18,1.14945e-17,3.6588e-18,2.41828e+06,769762,2.41828e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=50 Rc=3.6588fm BE=435.044MeV src=Angeli2013
Chromium-52 (Z=24 A=52),Map:     f+R->vx,vx_kms,3.6645e-18,1.10344e+23,2.54065e+06,1.10344e+23,3.46657e+23,1.10344e+23,3.6645e-18,1.15124e-17,3.6645e-18,2.54065e+06,808713,2.54065e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=52 Rc=3.6645fm BE=456.347MeV src=Angeli2013
Chromium-53 (Z=24 A=53),Map:     f+R->vx,vx_kms,3.6737e-18,1.12264e+23,2.59133e+06,1.12264e+23,3.52687e+23,1.12264e+23,3.6737e-18,1.15413e-17,3.6737e-18,2.59133e+06,824846,2.59133e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=53 Rc=3.6737fm BE=464.285MeV src=Angeli2013
Chromium-54 (Z=24 A=54),Map:     f+R->vx,vx_kms,3.6869e-18,1.14613e+23,2.65506e+06,1.14613e+23,3.60067e+23,1.14613e+23,3.6869e-18,1.15827e-17,3.6869e-18,2.65506e+06,845133,2.65506e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=54 Rc=3.6869fm BE=474.001MeV src=Angeli2013
Iron-54 (Z=26 A=54),Map:     f+R->vx,vx_kms,3.6922e-18,1.14072e+23,2.64633e+06,1.14072e+23,3.58368e+23,1.14072e+23,3.6922e-18,1.15994e-17,3.6922e-18,2.64633e+06,842353,2.64633e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 A=54 Rc=3.6922fm BE=471.764MeV src=Angeli2013
